Company Symbol,Period,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit Before Tax,Tax %,Net Profit,EPS in Rs,PDF URL
SIEMENS,Mar 2024,"3,710","3,256",453,12%,256,3,60,646,22%,506,14.19,https://www.screener.in/company/source/quarter/3061/3/2024/
SIEMENS,Jun 2024,"4,152","3,516",637,15%,479,21,63,"1,032",22%,803,22.54,https://www.screener.in/company/source/quarter/3061/6/2024/
SIEMENS,Sep 2024,"3,763","3,277",485,13%,298,5,70,709,18%,578,16.22,https://www.screener.in/company/source/quarter/3061/9/2024/
SIEMENS,Dec 2024,"4,457","3,912",545,12%,544,18,62,"1,009",18%,831,23.33,https://www.screener.in/company/source/quarter/3061/12/2024/
SIEMENS,Mar 2025,"3,587","3,186",401,11%,415,3,69,743,17%,615,17.25,https://www.screener.in/company/source/quarter/3061/3/2025/
SIEMENS,Jun 2025,"4,259","3,792",468,11%,326,2,69,723,19%,582,16.34,https://www.screener.in/company/source/quarter/3061/6/2025/
PROTEAN,Sep 2022,157,135,22,14%,10,0,4,27,22%,21,5.28,https://www.screener.in/company/source/quarter/1284559/9/2022/
PROTEAN,Dec 2022,178,148,29,16%,10,0,5,34,25%,26,6.38,https://www.screener.in/company/source/quarter/1284559/12/2022/
PROTEAN,Mar 2023,176,143,32,18%,10,0,5,38,25%,28,7.06,https://www.screener.in/company/source/quarter/1284559/3/2023/
PROTEAN,Jun 2023,232,197,35,15%,11,0,5,41,23%,32,7.82,https://www.screener.in/company/source/quarter/1284559/6/2023/
PROTEAN,Sep 2023,220,186,34,15%,13,0,5,42,23%,32,7.96,https://www.screener.in/company/source/quarter/1284559/9/2023/
PROTEAN,Dec 2023,236,199,36,15%,13,0,5,43,24%,33,8.10,https://www.screener.in/company/source/quarter/1284559/12/2023/
PROTEAN,Mar 2024,204,207,-3,-2%,29,1,6,19,21%,15,3.77,https://www.screener.in/company/source/quarter/1284559/3/2024/
PROTEAN,Jun 2024,222,200,22,10%,13,1,11,24,18%,19,4.77,https://www.screener.in/company/source/quarter/1284559/6/2024/
PROTEAN,Sep 2024,197,181,15,8%,19,0,7,27,22%,21,5.21,https://www.screener.in/company/source/quarter/1284559/9/2024/
PROTEAN,Dec 2024,220,188,32,14%,14,0,7,38,25%,28,6.92,https://www.screener.in/company/source/quarter/1284559/12/2024/
PROTEAN,Mar 2025,202,187,16,8%,19,0,6,29,20%,23,5.66,https://www.screener.in/company/source/quarter/1284559/3/2025/
PROTEAN,Jun 2025,222,204,18,8%,17,1,8,25,19%,20,5.03,https://www.screener.in/company/source/quarter/1284559/6/2025/
AVANTEL,Dec 2022,36.23,26.19,10.04,27.71%,0.06,1.13,1.36,7.61,19.32%,6.14,0.23,https://www.screener.in/company/source/quarter/340/12/2022/
AVANTEL,Mar 2023,38.71,27.50,11.21,28.96%,0.28,1.55,1.52,8.42,20.55%,6.69,0.25,https://www.screener.in/company/source/quarter/340/3/2023/
AVANTEL,Jun 2023,52.53,34.39,18.14,34.53%,0.09,1.51,1.53,15.19,36.60%,9.63,0.36,https://www.screener.in/company/source/quarter/340/6/2023/
AVANTEL,Sep 2023,68.95,54.70,14.25,20.67%,0.21,1.49,1.57,11.40,29.74%,8.01,0.30,https://www.screener.in/company/source/quarter/340/9/2023/
AVANTEL,Dec 2023,54.33,29.38,24.95,45.92%,0.40,1.51,1.64,22.20,27.61%,16.07,0.61,https://www.screener.in/company/source/quarter/340/12/2023/
AVANTEL,Mar 2024,59.33,34.89,24.44,41.19%,0.36,0.87,1.84,22.09,26.12%,16.32,0.62,https://www.screener.in/company/source/quarter/340/3/2024/
AVANTEL,Jun 2024,41.76,23.60,18.16,43.49%,0.46,0.31,2.45,15.86,23.33%,12.15,0.46,https://www.screener.in/company/source/quarter/340/6/2024/
AVANTEL,Sep 2024,51.76,37.60,14.16,27.36%,0.30,0.64,2.86,10.96,32.66%,7.38,0.28,https://www.screener.in/company/source/quarter/340/9/2024/
AVANTEL,Dec 2024,77.42,42.73,34.69,44.81%,0.49,0.72,2.96,31.50,27.30%,22.90,0.87,https://www.screener.in/company/source/quarter/340/12/2024/
AVANTEL,Mar 2025,70.68,38.63,32.05,45.35%,0.51,1.02,3.05,28.49,29.48%,20.08,0.76,https://www.screener.in/company/source/quarter/340/3/2025/
AVANTEL,Jun 2025,49.26,37.65,11.61,23.57%,0.48,0.66,2.94,8.49,28.39%,6.08,0.23,https://www.screener.in/company/source/quarter/340/6/2025/
AVANTEL,Sep 2025,51.91,41.46,10.45,20.13%,0.05,0.80,4.40,5.30,39.25%,3.23,0.12,https://www.screener.in/company/source/quarter/340/9/2025/
ASTRAL,Sep 2022,"1,213","1,042",171,14%,14,13,43,128,25%,96,3.32,https://www.screener.in/company/source/quarter/309/9/2022/
ASTRAL,Dec 2022,"1,172","1,028",144,12%,14,14,45,99,24%,75,2.57,https://www.screener.in/company/source/quarter/309/12/2022/
ASTRAL,Mar 2023,"1,268","1,081",186,15%,-2,9,46,130,27%,95,3.46,https://www.screener.in/company/source/quarter/309/3/2023/
ASTRAL,Jun 2023,"1,506","1,199",307,20%,12,3,44,272,24%,206,7.66,https://www.screener.in/company/source/quarter/309/6/2023/
ASTRAL,Sep 2023,"1,283","1,082",202,16%,12,6,46,162,26%,119,4.46,https://www.screener.in/company/source/quarter/309/9/2023/
ASTRAL,Dec 2023,"1,363","1,143",220,16%,13,8,49,177,26%,132,4.88,https://www.screener.in/company/source/quarter/309/12/2023/
ASTRAL,Mar 2024,"1,370","1,165",205,15%,6,8,50,154,26%,113,4.23,https://www.screener.in/company/source/quarter/309/3/2024/
ASTRAL,Jun 2024,"1,625","1,334",291,18%,10,8,52,241,25%,181,6.76,https://www.screener.in/company/source/quarter/309/6/2024/
ASTRAL,Sep 2024,"1,384","1,169",214,16%,12,8,56,163,27%,120,4.48,https://www.screener.in/company/source/quarter/309/9/2024/
ASTRAL,Dec 2024,"1,370","1,160",210,15%,9,10,60,149,27%,109,4.09,https://www.screener.in/company/source/quarter/309/12/2024/
ASTRAL,Mar 2025,"1,397","1,178",219,16%,12,14,63,154,27%,113,4.25,https://www.screener.in/company/source/quarter/309/3/2025/
ASTRAL,Jun 2025,"1,681","1,380",302,18%,9,10,65,236,25%,178,6.67,https://www.screener.in/company/source/quarter/309/6/2025/
CRISIL,Dec 2022,683,531,151,22%,65,2,26,189,22%,148,20.24,https://www.screener.in/company/source/quarter/737/12/2022/
CRISIL,Mar 2023,822,606,216,26%,18,1,26,207,24%,158,21.63,https://www.screener.in/company/source/quarter/737/3/2023/
CRISIL,Jun 2023,715,511,203,28%,17,1,26,194,25%,146,19.94,https://www.screener.in/company/source/quarter/737/6/2023/
CRISIL,Sep 2023,771,567,204,26%,18,1,26,195,23%,151,20.60,https://www.screener.in/company/source/quarter/737/9/2023/
CRISIL,Dec 2023,736,544,192,26%,36,1,26,200,24%,152,20.79,https://www.screener.in/company/source/quarter/737/12/2023/
CRISIL,Mar 2024,918,649,269,29%,36,1,25,279,25%,210,28.74,https://www.screener.in/company/source/quarter/737/3/2024/
CRISIL,Jun 2024,738,546,192,26%,21,1,17,195,30%,138,18.84,https://www.screener.in/company/source/quarter/737/6/2024/
CRISIL,Sep 2024,797,591,207,26%,18,1,16,208,28%,150,20.53,https://www.screener.in/company/source/quarter/737/9/2024/
CRISIL,Dec 2024,812,588,224,28%,21,1,16,229,25%,172,23.46,https://www.screener.in/company/source/quarter/737/12/2024/
CRISIL,Mar 2025,913,626,287,31%,30,2,21,294,24%,225,30.72,https://www.screener.in/company/source/quarter/737/3/2025/
CRISIL,Jun 2025,813,581,232,29%,31,6,30,227,30%,160,21.86,https://www.screener.in/company/source/quarter/737/6/2025/
CRISIL,Sep 2025,843,604,239,28%,24,6,32,225,24%,172,23.46,https://www.screener.in/company/source/quarter/737/9/2025/
GEOJITFSL,Dec 2022,112,72,40,36%,0,1,7,31,27%,24,0.83,https://www.screener.in/company/source/quarter/1125/12/2022/
GEOJITFSL,Mar 2023,114,77,38,33%,2,2,7,30,21%,25,0.87,https://www.screener.in/company/source/quarter/1125/3/2023/
GEOJITFSL,Jun 2023,111,78,33,30%,6,3,8,29,1%,30,1.02,https://www.screener.in/company/source/quarter/1125/6/2023/
GEOJITFSL,Sep 2023,110,78,32,29%,6,2,7,29,28%,22,0.75,https://www.screener.in/company/source/quarter/1125/9/2023/
GEOJITFSL,Dec 2023,144,87,57,39%,2,3,7,48,25%,37,1.30,https://www.screener.in/company/source/quarter/1125/12/2023/
GEOJITFSL,Mar 2024,152,94,58,38%,2,5,7,48,24%,38,1.32,https://www.screener.in/company/source/quarter/1125/3/2024/
GEOJITFSL,Jun 2024,208,127,81,39%,0,7,8,66,25%,52,1.81,https://www.screener.in/company/source/quarter/1125/6/2024/
GEOJITFSL,Sep 2024,181,105,76,42%,0,9,7,60,25%,46,1.60,https://www.screener.in/company/source/quarter/1125/9/2024/
GEOJITFSL,Dec 2024,218,124,94,43%,0,11,8,76,26%,57,2.01,https://www.screener.in/company/source/quarter/1125/12/2024/
GEOJITFSL,Mar 2025,172,109,63,37%,0,8,8,48,24%,37,1.29,https://www.screener.in/company/source/quarter/1125/3/2025/
GEOJITFSL,Jun 2025,177,125,52,29%,1,5,8,40,23%,32,1.12,https://www.screener.in/company/source/quarter/1125/6/2025/
GEOJITFSL,Sep 2025,153,106,48,31%,0,3,8,37,26%,29,0.99,https://www.screener.in/company/source/quarter/1125/9/2025/
IDBI,Dec 2022,,"2,430",,,"1,058","2,238",0,"1,384",45%,782,0.72,https://www.screener.in/company/source/quarter/1387/12/2022/
IDBI,Mar 2023,,"2,563",,,923,"2,304",0,"1,286",27%,950,0.88,https://www.screener.in/company/source/quarter/1387/3/2023/
IDBI,Jun 2023,,"3,167",,,"1,404","2,445",0,"1,521",21%,"1,223",1.13,https://www.screener.in/company/source/quarter/1387/6/2023/
IDBI,Sep 2023,,"3,067",,,907,"2,861",0,"1,843",33%,"1,234",1.14,https://www.screener.in/company/source/quarter/1387/9/2023/
IDBI,Dec 2023,,"1,701",,,"1,025","2,966",0,"2,397",42%,"1,393",1.29,https://www.screener.in/company/source/quarter/1387/12/2023/
IDBI,Mar 2024,,"2,444",,,"1,031","3,102",0,"2,034",27%,"1,515",1.40,https://www.screener.in/company/source/quarter/1387/3/2024/
IDBI,Jun 2024,,"2,565",,,961,"3,298",0,"2,093",21%,"1,672",1.55,https://www.screener.in/company/source/quarter/1387/6/2024/
IDBI,Sep 2024,,"1,553",,,857,"3,428",0,"2,546",32%,"1,739",1.61,https://www.screener.in/company/source/quarter/1387/9/2024/
IDBI,Dec 2024,,"2,781",,,"1,368","3,562",0,"2,470",25%,"1,869",1.73,https://www.screener.in/company/source/quarter/1387/12/2024/
IDBI,Mar 2025,,"2,382",,,810,"3,583",0,"2,664",28%,"1,954",1.81,https://www.screener.in/company/source/quarter/1387/3/2025/
IDBI,Jun 2025,,"2,415",,,"2,107","3,683",0,"2,991",31%,"2,094",1.94,https://www.screener.in/company/source/quarter/1387/6/2025/
IDBI,Sep 2025,,"2,091",,,"1,472","3,851",0,"2,557",21%,"2,024",1.88,https://www.screener.in/company/source/quarter/1387/9/2025/
AIMCOPEST,Sep 2022,70.58,65.81,4.77,6.76%,0.24,0.32,0.97,3.72,27.15%,2.71,2.83,https://www.screener.in/company/source/quarter/102/9/2022/
AIMCOPEST,Dec 2022,63.32,60.32,3.00,4.74%,0.51,0.18,1.10,2.23,25.11%,1.68,1.75,https://www.screener.in/company/source/quarter/102/12/2022/
AIMCOPEST,Mar 2023,30.79,31.92,-1.13,-3.67%,0.22,0.33,1.13,-2.37,-23.21%,-1.82,-1.90,https://www.screener.in/company/source/quarter/102/3/2023/
AIMCOPEST,Jun 2023,41.57,45.42,-3.85,-9.26%,0.09,1.67,0.95,-6.38,-25.55%,-4.75,-4.96,https://www.screener.in/company/source/quarter/102/6/2023/
AIMCOPEST,Sep 2023,45.92,52.25,-6.33,-13.78%,0.38,0.98,1.03,-7.96,-24.62%,-5.99,-6.25,https://www.screener.in/company/source/quarter/102/9/2023/
AIMCOPEST,Dec 2023,80.48,77.18,3.30,4.10%,0.10,0.61,1.07,1.72,24.42%,1.30,1.36,https://www.screener.in/company/source/quarter/102/12/2023/
AIMCOPEST,Mar 2024,44.21,44.77,-0.56,-1.27%,0.18,0.53,1.09,-2.00,-24.00%,-1.53,-1.60,https://www.screener.in/company/source/quarter/102/3/2024/
AIMCOPEST,Jun 2024,36.74,40.68,-3.94,-10.72%,0.47,0.53,1.09,-5.09,-24.75%,-3.83,-4.00,https://www.screener.in/company/source/quarter/102/6/2024/
AIMCOPEST,Sep 2024,39.78,40.15,-0.37,-0.93%,0.03,0.61,1.08,-2.03,-23.65%,-1.55,-1.62,https://www.screener.in/company/source/quarter/102/9/2024/
AIMCOPEST,Dec 2024,55.32,55.03,0.29,0.52%,0.03,0.66,1.07,-1.41,-24.82%,-1.06,-1.11,https://www.screener.in/company/source/quarter/102/12/2024/
AIMCOPEST,Mar 2025,50.89,48.80,2.09,4.11%,0.04,0.52,1.01,0.60,13.33%,0.52,0.54,https://www.screener.in/company/source/quarter/102/3/2025/
AIMCOPEST,Jun 2025,52.75,57.30,-4.55,-8.63%,0.03,1.30,0.92,-6.74,-23.59%,-5.15,-5.26,https://www.screener.in/company/source/quarter/102/6/2025/
INFY,Dec 2022,"36,538","27,636","8,902",24%,584,66,"1,029","8,391",28%,"6,026",14.31,https://www.screener.in/company/source/quarter/1489/12/2022/
INFY,Mar 2023,"38,318","28,951","9,367",24%,769,80,"1,125","8,931",26%,"6,586",15.70,https://www.screener.in/company/source/quarter/1489/3/2023/
INFY,Jun 2023,"37,441","28,443","8,998",24%,671,82,"1,121","8,466",28%,"6,134",14.77,https://www.screener.in/company/source/quarter/1489/6/2023/
INFY,Sep 2023,"37,933","28,869","9,064",24%,561,90,"1,173","8,362",29%,"5,945",14.32,https://www.screener.in/company/source/quarter/1489/9/2023/
INFY,Dec 2023,"38,994","29,554","9,440",24%,632,138,"1,166","8,768",29%,"6,215",14.97,https://www.screener.in/company/source/quarter/1489/12/2023/
INFY,Mar 2024,"38,821","29,684","9,137",24%,789,131,"1,176","8,619",29%,"6,113",14.71,https://www.screener.in/company/source/quarter/1489/3/2024/
INFY,Jun 2024,"37,923","29,139","8,784",23%,"2,729",110,"1,163","10,240",22%,"7,975",19.20,https://www.screener.in/company/source/quarter/1489/6/2024/
INFY,Sep 2024,"39,315","29,878","9,437",24%,838,105,"1,149","9,021",29%,"6,374",15.34,https://www.screener.in/company/source/quarter/1489/9/2024/
INFY,Dec 2024,"40,986","31,177","9,809",24%,712,108,"1,160","9,253",30%,"6,516",15.67,https://www.screener.in/company/source/quarter/1489/12/2024/
INFY,Mar 2025,"41,764","31,649","10,115",24%,859,101,"1,203","9,670",29%,"6,822",16.39,https://www.screener.in/company/source/quarter/1489/3/2025/
INFY,Jun 2025,"40,925","31,051","9,874",24%,"1,190",102,"1,299","9,663",27%,"7,038",16.93,https://www.screener.in/company/source/quarter/1489/6/2025/
INFY,Sep 2025,"42,279","32,336","9,943",24%,"1,042",105,"1,140","9,740",29%,"6,924",16.66,https://www.screener.in/company/source/quarter/1489/9/2025/
AMBANIORGO,Sep 2019,42,39,3,8%,-0,1,0,1,22%,1,1.99,https://www.screener.in/company/source/quarter/1274386/9/2019/
AMBANIORGO,Mar 2020,38,35,3,7%,0,1,0,1,43%,1,1.14,https://www.screener.in/company/source/quarter/1274386/3/2020/
AMBANIORGO,Sep 2020,36,33,3,8%,-0,1,0,1,21%,1,1.59,https://www.screener.in/company/source/quarter/1274386/9/2020/
AMBANIORGO,Mar 2021,26,24,2,9%,0,2,0,0,24%,0,0.71,https://www.screener.in/company/source/quarter/1274386/3/2021/
AMBANIORGO,Sep 2021,61,57,4,7%,0,1,1,2,38%,1,2.64,https://www.screener.in/company/source/quarter/1274386/9/2021/
AMBANIORGO,Mar 2022,67,64,3,5%,0,1,1,1,32%,1,1.46,https://www.screener.in/company/source/quarter/1274386/3/2022/
AMBANIORGO,Sep 2022,59,55,4,7%,0,2,1,2,26%,1,1.97,https://www.screener.in/company/source/quarter/1274386/9/2022/
AMBANIORGO,Mar 2023,67,64,4,5%,0,2,1,1,26%,1,1.35,https://www.screener.in/company/source/quarter/1274386/3/2023/
AMBANIORGO,Sep 2023,66,61,5,7%,-0,2,1,2,41%,1,1.73,https://www.screener.in/company/source/quarter/1274386/9/2023/
AMBANIORGO,Mar 2024,62,58,5,8%,0,3,1,0,63%,0,0.16,https://www.screener.in/company/source/quarter/1274386/3/2024/
AMBANIORGO,Sep 2024,74,74,0,0%,5,4,1,-0,"-5,960%",3,4.15,https://www.screener.in/company/source/quarter/1274386/9/2024/
AMBANIORGO,Mar 2025,82,77,4,5%,0,4,1,-1,33%,-2,-2.52,https://www.screener.in/company/source/quarter/1274386/3/2025/
TREJHARA,Sep 2022,16.74,12.16,4.58,27.36%,0.55,0.28,0.28,4.57,24.73%,3.44,2.91,https://www.screener.in/company/source/quarter/1274610/9/2022/
TREJHARA,Dec 2022,6.44,4.90,1.54,23.91%,3.22,0.22,0.25,4.29,9.32%,3.89,3.29,https://www.screener.in/company/source/quarter/1274610/12/2022/
TREJHARA,Mar 2023,17.29,12.31,4.98,28.80%,-0.17,0.16,0.26,4.39,21.41%,3.45,2.92,https://www.screener.in/company/source/quarter/1274610/3/2023/
TREJHARA,Jun 2023,5.74,5.91,-0.17,-2.96%,-311.73,1.54,1.63,-315.07,-1.64%,-309.91,-262.27,https://www.screener.in/company/source/quarter/1274610/6/2023/
TREJHARA,Sep 2023,4.03,3.18,0.85,21.09%,4.56,0.60,1.12,3.69,-6.50%,3.94,3.33,https://www.screener.in/company/source/quarter/1274610/9/2023/
TREJHARA,Dec 2023,6.03,3.45,2.58,42.79%,2.76,0.36,1.07,3.91,1.28%,3.86,3.27,https://www.screener.in/company/source/quarter/1274610/12/2023/
TREJHARA,Mar 2024,6.36,3.64,2.72,42.77%,0.26,0.05,0.95,1.98,21.21%,1.57,1.08,https://www.screener.in/company/source/quarter/1274610/3/2024/
TREJHARA,Jun 2024,6.43,6.50,-0.07,-1.09%,12.10,0.02,0.94,11.07,6.50%,10.35,7.13,https://www.screener.in/company/source/quarter/1274610/6/2024/
TREJHARA,Sep 2024,6.05,4.76,1.29,21.32%,0.91,0.08,0.94,1.18,22.03%,0.91,0.63,https://www.screener.in/company/source/quarter/1274610/9/2024/
TREJHARA,Dec 2024,6.34,5.11,1.23,19.40%,1.19,0.05,0.96,1.41,22.70%,1.10,0.76,https://www.screener.in/company/source/quarter/1274610/12/2024/
TREJHARA,Mar 2025,6.42,4.79,1.63,25.39%,0.29,0.04,0.97,0.91,27.47%,0.66,0.45,https://www.screener.in/company/source/quarter/1274610/3/2025/
TREJHARA,Jun 2025,9.56,7.86,1.70,17.78%,0.90,-0.03,0.96,1.67,63.47%,0.61,0.42,https://www.screener.in/company/source/quarter/1274610/6/2025/
BIKAJI,Sep 2022,419,388,31,7%,5,3,11,22,28%,16,0.65,https://www.screener.in/company/source/quarter/1275353/9/2022/
BIKAJI,Dec 2022,577,513,64,11%,6,3,11,56,27%,41,1.66,https://www.screener.in/company/source/quarter/1275353/12/2022/
BIKAJI,Mar 2023,508,453,55,11%,12,3,13,52,23%,40,1.63,https://www.screener.in/company/source/quarter/1275353/3/2023/
BIKAJI,Jun 2023,462,400,62,13%,5,3,12,51,26%,38,1.51,https://www.screener.in/company/source/quarter/1275353/6/2023/
BIKAJI,Sep 2023,482,416,66,14%,6,2,13,56,26%,41,1.67,https://www.screener.in/company/source/quarter/1275353/9/2023/
BIKAJI,Dec 2023,609,521,88,14%,6,3,16,75,20%,60,2.45,https://www.screener.in/company/source/quarter/1275353/12/2023/
BIKAJI,Mar 2024,624,549,75,12%,6,3,16,62,26%,46,1.86,https://www.screener.in/company/source/quarter/1275353/3/2024/
BIKAJI,Jun 2024,614,453,161,26%,12,3,15,155,25%,116,4.64,https://www.screener.in/company/source/quarter/1275353/6/2024/
BIKAJI,Sep 2024,572,480,92,16%,7,3,18,78,26%,58,2.33,https://www.screener.in/company/source/quarter/1275353/9/2024/
